Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
lookup/10/10/ExprMap/,3.4862305482980968e-6,3.4826727182262802e-6,3.489945771017897e-6,1.2730246351470024e-8,1.0933907004932487e-8,1.4919913341431582e-8
lookup/10/10/Map/,3.737020318378598e-6,3.7353048175526717e-6,3.7385606959243094e-6,5.35005673956224e-9,4.570762483284278e-9,6.606645140743184e-9
lookup/10/10/HashMap/,5.205214901407836e-6,5.20223114909375e-6,5.208030740325277e-6,9.732177148806053e-9,8.110083359453532e-9,1.1648607574566871e-8
lookup/10/100/ExprMap/,1.9511979585847327e-5,1.950600943561453e-5,1.952852546814069e-5,3.1742248263856646e-8,9.452307881933318e-9,6.590246517703258e-8
lookup/10/100/Map/,1.9949005904438998e-5,1.9944992936851573e-5,1.9952574694904276e-5,1.3631127700763361e-8,1.0752493468716626e-8,1.6974187608070673e-8
lookup/10/100/HashMap/,3.408387952446658e-5,3.4072241421156864e-5,3.4095873168308285e-5,3.809829963636772e-8,3.072084492565124e-8,4.8563286764663276e-8
lookup/10/1000/ExprMap/,2.491722077277753e-4,2.491353940899385e-4,2.4921387387112035e-4,1.329214668820917e-7,1.1066537018322065e-7,1.657176151673262e-7
lookup/10/1000/Map/,2.455053917850218e-4,2.4546573375495e-4,2.455495825355307e-4,1.455044590029809e-7,1.2666189380079602e-7,1.6591472982159894e-7
lookup/10/1000/HashMap/,4.4892399739088554e-4,4.487750086922658e-4,4.49316129906468e-4,7.936262855527983e-7,2.4003515267793856e-7,1.6396951249485389e-6
lookup/10/10000/ExprMap/,2.7765374662310003e-3,2.7760471993816312e-3,2.7771903924666036e-3,1.8431256735696816e-6,1.4745348036974058e-6,2.4048025583918184e-6
lookup/10/10000/Map/,2.7288222811005743e-3,2.728400601422001e-3,2.729255510290448e-3,1.3631578608663959e-6,1.1114206923698527e-6,1.7752028759443366e-6
lookup/10/10000/HashMap/,4.89544977314315e-3,4.894653579989252e-3,4.8961862737042896e-3,2.3921337410526755e-6,1.935706494360265e-6,3.041803126247653e-6
lookup/100/10/ExprMap/,2.8664733650674556e-5,2.8658883538546022e-5,2.86697020611833e-5,1.8298138480353516e-8,1.4873151404608179e-8,2.3867948916472767e-8
lookup/100/10/Map/,4.068437141535993e-5,4.0675141768384845e-5,4.0699606890712514e-5,3.881751614993005e-8,2.7126857048127525e-8,6.575385917750838e-8
lookup/100/10/HashMap/,4.394478786942136e-5,4.3928089117163366e-5,4.395904744882041e-5,5.419999166414507e-8,4.589632737967311e-8,6.510052859118212e-8
lookup/100/100/ExprMap/,2.1337707546182624e-4,2.1334348751785397e-4,2.1341999804930348e-4,1.338523483665962e-7,1.0729136538203866e-7,1.8445957068066369e-7
lookup/100/100/Map/,2.313802158714232e-4,2.3132597894125873e-4,2.3142770107316602e-4,1.7041516913225897e-7,1.442279107238415e-7,2.1647164481033454e-7
lookup/100/100/HashMap/,3.837745027689944e-4,3.837179144055297e-4,3.8384394366098445e-4,2.1099668955730467e-7,1.7471737677211236e-7,2.8671106358976326e-7
lookup/100/1000/ExprMap/,2.655249037452813e-3,2.653544923494686e-3,2.657083919937719e-3,5.865061359265365e-6,5.165953580306227e-6,6.851933930249035e-6
lookup/100/1000/Map/,2.6370489489819164e-3,2.6366837437395907e-3,2.637465394089593e-3,1.309965060157971e-6,1.1003837548214246e-6,1.6743244079190813e-6
lookup/100/1000/HashMap/,4.737311256683472e-3,4.736234852628909e-3,4.738284079460474e-3,3.237439507240236e-6,2.820654502423536e-6,3.6996718048502022e-6
lookup/100/10000/ExprMap/,3.165937258840795e-2,3.1535588712730094e-2,3.200384998480159e-2,4.1944515084964886e-4,1.434327417990531e-4,8.240132751890196e-4
lookup/100/10000/Map/,3.145709898776457e-2,3.137685246852031e-2,3.164882293000709e-2,2.526772206075172e-4,1.2206764403889191e-4,4.449271092692027e-4
lookup/100/10000/HashMap/,5.405358997903424e-2,5.403191878165159e-2,5.4091354420954224e-2,5.317482461368285e-5,3.417872314243162e-5,7.709813538904573e-5
lookup/1000/10/ExprMap/,3.432620678395424e-4,3.4312722344667705e-4,3.434432963167169e-4,5.077050420496172e-7,3.950259105510159e-7,6.88750791370812e-7
lookup/1000/10/Map/,6.386929196027101e-4,6.385447587008681e-4,6.388698624887374e-4,5.499424182239525e-7,4.617149942548428e-7,6.96974226025443e-7
lookup/1000/10/HashMap/,4.6379701044974963e-4,4.636661667514104e-4,4.638950885885578e-4,3.9602288687804675e-7,3.234925568760523e-7,4.803072876203189e-7
lookup/1000/100/ExprMap/,2.2474107525169117e-3,2.2464489796372783e-3,2.249168252830328e-3,4.1460345371002565e-6,2.772919669224689e-6,6.4915026916884795e-6
lookup/1000/100/Map/,2.739012417200486e-3,2.7384174068929594e-3,2.7400142700327824e-3,2.581120937203333e-6,1.9001982121691193e-6,3.824860078504348e-6
lookup/1000/100/HashMap/,3.863849445919209e-3,3.8615215205625593e-3,3.865854952296356e-3,6.8731691328649485e-6,5.672264842847246e-6,9.03244674304294e-6
lookup/1000/1000/ExprMap/,3.0388919554806004e-2,3.0287794619904117e-2,3.0802445547931316e-2,3.4239930022219374e-4,1.6690192791425038e-4,5.863118687301882e-4
lookup/1000/1000/Map/,3.053037540787189e-2,3.0431008495118032e-2,3.081277997254874e-2,3.1406502657778374e-4,1.1881552661365902e-4,5.488455333246108e-4
lookup/1000/1000/HashMap/,5.0995956664213186e-2,5.090536054550081e-2,5.1234508811626764e-2,2.676411389415295e-4,1.030600419742284e-4,4.6234448024599245e-4
lookup/1000/10000/ExprMap/,0.3309620709034304,0.33078531051675475,0.3311127243936062,2.1804643286413617e-4,1.523388501909331e-4,2.802808084222941e-4
lookup/1000/10000/Map/,0.3320931011127929,0.33192423928529025,0.33241090044379235,2.884685803796551e-4,1.1093200105752148e-4,4.302426988994607e-4
lookup/1000/10000/HashMap/,0.5453599054987232,0.5452213203534484,0.5454753828234971,1.625227093188726e-4,7.958927502232926e-5,2.2814690500283296e-4
lookup/10000/10/ExprMap/,4.275480315837798e-3,4.273354924381351e-3,4.277943792437656e-3,7.342802427450018e-6,5.790598892523462e-6,9.330529626527837e-6
lookup/10000/10/Map/,9.792511054059101e-3,9.787844447117396e-3,9.797989652288789e-3,1.3560290052704462e-5,1.0703461482262283e-5,1.849173649504913e-5
lookup/10000/10/HashMap/,4.9348099081914076e-3,4.933993530647642e-3,4.935826713885503e-3,2.8207242274013863e-6,2.1758154513086574e-6,3.857306428363315e-6
lookup/10000/100/ExprMap/,2.726754977074077e-2,2.7238075997085633e-2,2.7320492387616108e-2,8.157278147296644e-5,4.818156906879995e-5,1.4082592313776978e-4
lookup/10000/100/Map/,3.922924924059078e-2,3.912522533947907e-2,3.96128037554395e-2,3.6082395723295016e-4,7.260580966195017e-5,6.699478471685039e-4
lookup/10000/100/HashMap/,4.161453002187058e-2,4.141881952801394e-2,4.1963349694149596e-2,4.961901173582084e-4,3.197175492261864e-4,7.546051858171283e-4
lookup/10000/1000/ExprMap/,0.35311747528612614,0.35267390916123986,0.3538872916251421,7.542016716205112e-4,2.6139715673760056e-5,9.340622562185691e-4
