Name,Size
pace/10/10/ExprMap,12712
space/10/10/Map,10160
space/10/10/HashMap,9992
space/10/100/ExprMap,56576
space/10/100/Map,52960
space/10/100/HashMap,52792
space/10/1000/ExprMap,487560
space/10/1000/Map,481712
space/10/1000/HashMap,481544
space/10/1000/ExprMap,487560
space/10/1000/Map,481712
space/10/1000/HashMap,481544
space/10/10000/ExprMap,4296144
space/10/10000/Map,4286256
space/10/10000/HashMap,4286088
space/100/10/ExprMap,89096
space/100/10/Map,72296
space/100/10/HashMap,71464
space/100/100/ExprMap,542928
space/100/100/Map,495152
space/100/100/HashMap,494400
space/100/1000/ExprMap,4994368
space/100/1000/Map,4904448
space/100/1000/HashMap,4903512
space/100/1000/ExprMap,4994368
space/100/1000/Map,4904448
space/100/1000/HashMap,4903512
space/100/10000/ExprMap,44051768
space/100/10000/Map,43916512
space/100/10000/HashMap,43915528
space/1000/10/ExprMap,775704
space/1000/10/Map,694928
space/1000/10/HashMap,685696
space/1000/100/ExprMap,5167656
space/1000/100/Map,4695888
space/1000/100/HashMap,4687120
space/1000/1000/ExprMap,48904640
space/1000/1000/Map,47805664
space/1000/1000/HashMap,47796992
space/1000/1000/ExprMap,48904640
space/1000/1000/Map,47805664
space/1000/1000/HashMap,47796992
space/1000/10000/ExprMap,441371536
space/1000/10000/Map,439679440
space/1000/10000/HashMap,439670816
space/1000/10/ExprMap,775704
space/1000/10/Map,694928
space/1000/10/HashMap,685696
space/1000/100/ExprMap,5167656
space/1000/100/Map,4695888
space/1000/100/HashMap,4687120
space/1000/1000/ExprMap,48904640
space/1000/1000/Map,47805664
space/1000/1000/HashMap,47796992
space/1000/1000/ExprMap,48904640
space/1000/1000/Map,47805664
space/1000/1000/HashMap,47796992
space/1000/10000/ExprMap,441371536
space/1000/10000/Map,439679440
space/1000/10000/HashMap,439670816
space/10000/10/ExprMap,7119152
space/10000/10/Map,6909512
space/10000/10/HashMap,6800400
space/10000/100/ExprMap,50840824
space/10000/100/Map,46898624
space/10000/100/HashMap,46769560
space/10000/1000/ExprMap,490359200
space/10000/1000/Map,479598168
space/10000/1000/HashMap,479470608
space/10000/1000/ExprMap,490359200
space/10000/1000/Map,479598168
space/10000/1000/HashMap,479470608
space/10000/10000/ExprMap,4422337752
space/10000/10000/Map,4404083616
space/10000/10000/HashMap,4403957568
space_lam/10/10/ExprMap,18376
space_lam/10/10/Map,18160
space_lam/10/10/HashMap,17944
space_lam/10/100/ExprMap,72552
space_lam/10/100/Map,132960
space_lam/10/100/HashMap,132840
space_lam/10/1000/ExprMap,600400
space_lam/10/1000/Map,1281712
space_lam/10/1000/HashMap,1281544
space_lam/10/1000/ExprMap,600400
space_lam/10/1000/Map,1281712
space_lam/10/1000/HashMap,1281544
space_lam/10/10000/ExprMap,5344712
space_lam/10/10000/Map,12286256
space_lam/10/10000/HashMap,12286040
space_lam/100/10/ExprMap,120192
